IdUsuario;Apellido(s), Nombre;Direccion de correo;contraseña;Fecha nacimiento(dia/mes/año)
DanielJ;Jimenez Muñoz, Daniel;djimenezei@gmail.com;Pass61*+;24/3/2005
MikelD;Dominguez Corchero, Mikel;mdominguet@gmail.com;Pass179:(&;19/7/2004
JesúsC;Carrasco Toscano, Jesus;jecarrasc@gmail.com;Pass121@+;10/5/2003
PabloB;Blanco Lucas, Pablo;tablancol@gmail.com;Pass186:(&;24/1/2004
AitorA;Arenas Collado, Aitor;zarenasc@gmail.com;Pass11++;18/1/2004
JaimeA;Alcobendas Santos, Jaime;mjclcoben@gmail.com;Pass112$%;14/1/2004
MarcosA;Aguado Pino, Marcos;tazuazot@gazi.com;Pass160:)&;12/1/2004
GuillermoA;Aguilar Navarro, Guillermo;ggauilar@gmail.com;Pass92--;13/1/2004
JorgeA;Alvarez Sancho, Jorge;jclvarezmem@gmail.com;Pass128@+;16/1/2004
DavidIvanA;Alvarado Flores, David Ivan;dclvarza@gmail.com;Pass70*+;15/1/2004
HectorA;Anton Esteban, Hector;hantones@gmail.com;Pass96--;17/1/2004
LuisMB;Banda Barril, Luis Mario;lbandaba@gmail.com;Pass154:)&;21/1/2004
CiroA;Arroyo Perez, Ciro;ciarroyot@gmail.com;Pass52**;19/1/2004
ManuelA;Atalaya Delgado, Manuel;zatclaya@gmail.com;Pass156:)&;20/1/2004
JorgeB;Barra Galan, Jorge;jobarrga@gmail.com;Pass129@+;22/1/2004
Lucasd;Barco Barco, Lucas del;ldelbarc@gmail.com;Pass151:)&;30/5/2003
AdrianB;Barrena Garcia, Adrian;zabarrena@gmail.com;Pass02++;23/1/2004
GuillermoC5;Caceres Ramos, Guillermo;guccaeres@gmail.com;Pass94--;31/1/2004
MarcosBU;Bueno Gutierrez, Marcos;mbuenogu@gmail.com;Pass162:)&;27/1/2004
AnaB;Bote Rodriguez, Ana;zaboterod@gmail.com;Pass36**;25/1/2004
MarcosB;Bravo Gonzalez, Marcos;mbravogo@gmail.com;Pass161:)&;26/1/2004
AlvaroC4;Caballero de la Fuente, Alvaro;caabcllen@gmail.com;Pass30+*;28/1/2004
RubenC;Caballero Molina, Ruben;locabclle@gmail.com;Pass207=+;29/1/2004
GuillermoC;Cabanillas de Caceres, Guillermo;ejbanil@gmail.com;Pass93--;30/1/2004
Joel JorgeC;Capel-Davies Sanchez, Joel Jorge;jcatelxd@gmail.com;Pass127@+;3/2/2004
LucaC;Calle Manzano, Luca;lcclleza@gmail.com;Pass150+&;1/2/2004
JavierC;Cano Maestre, Javier;jcanozae@gmail.com;Pass114$%;2/2/2004
FranciscoJC;Carozo Camello, Francisco Javier;fcarozoc@gmail.com;Pass87--;5/2/2004
VictorC;Carballo Oltra, Victor;vicarbcll@gmail.com;Pass225=+;4/2/2004
PabloC;Carrasco Caballero, Pablo;tcarrascf@gmail.com;Pass187$$;6/2/2004
JuanManuelC;Corrales Vasco, Juan Manuel;jcorrcled@gmail.com;Pass142+&;24/5/2003
MarcosC;Cerezo Lagar, Marcos;mcerezol@gmail.com;Pass163:)&;17/5/2003
CarlosC;Cartolano Zambrano, Carlos;ccaartola@gmail.com;Pass46**;13/5/2003
AlejandroC;Carretero Cheng, Alejandro;caarretelr@gmail.com;Pass17++;11/5/2003
